company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
SUNPHARMA,Mar 2017,24.85,31.99,21.41,21.74,12.84,0.27,26.78,0.52,2896.0,4186.0,29.0,152.67,12.0,9832.0,7082.0,,,,98.57
SUNPHARMA,Mar 2018,9.6,21.26,6.63,11.56,3.95,0.27,10.61,0.41,803.0,3104.0,9.0,159.64,23.0,10385.0,3907.0,18.93,-6.03,-8.46,63.19
SUNPHARMA,Mar 2019,11.04,21.94,7.75,12.28,4.97,0.25,11.03,0.45,1886.0,310.0,11.0,172.54,25.0,10514.0,2196.0,12.57,-3.73,-6.01,59.4
SUNPHARMA,Mar 2020,12.7,21.26,9.22,13.03,6.12,0.18,24.31,0.48,4330.0,2225.0,16.0,188.6,25.0,8315.0,6555.0,3.69,-5.29,-6.17,55.94
SUNPHARMA,Mar 2021,6.78,25.29,4.89,16.83,3.36,0.08,35.61,0.5,6577.0,407.0,12.0,193.6,62.0,3869.0,6170.0,3.29,-16.68,-8.78,55.01
SUNPHARMA,Mar 2022,8.77,26.54,7.06,20.81,4.86,0.03,53.17,0.55,3429.0,5556.0,14.0,200.05,73.0,1290.0,8985.0,4.13,-15.46,-13.55,61.19
SUNPHARMA,Mar 2023,19.4,26.55,15.2,18.53,10.55,0.12,70.4,0.54,-2261.0,7220.0,35.0,233.31,33.0,6886.0,4959.0,10.62,27.34,31.21,85.15
SUNPHARMA,Mar 2024,19.82,26.84,15.09,19.45,11.27,0.05,58.33,0.57,11372.0,763.0,40.0,265.28,34.0,3274.0,12135.0,10.78,24.54,29.46,90.32
SUNPHARMA,TTM,22.1,27.95,,,,,65.4,,,,46.0,,,,,,,,100.0
TATACONSUM,Mar 2013,6.05,10.47,9.25,12.42,5.06,0.29,9.83,0.84,197.0,24.0,6.0,77.58,36.0,1389.0,173.0,,,,64.83
TATACONSUM,Mar 2014,6.59,9.72,8.72,10.32,5.15,0.25,10.6,0.78,421.0,1.0,7.0,94.34,29.0,1438.0,422.0,,,,67.63
TATACONSUM,Mar 2015,3.42,9.91,4.97,11.62,2.89,0.24,8.72,0.85,211.0,207.0,4.0,88.6,6.0,1324.0,418.0,,,,64.53
