company_id,year,ratio_name,value,status,formula,source_tables,classification,formula_version,timestamp
ADANIENSOL,Mar 2024,NPM,7.2,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2024,OPM,34.39,OPM_MISMATCH,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2024,ROE,9.46,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2024,ROCE,11.49,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2024,ROA,2.04,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2013,NPM,2.63,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2013,OPM,12.98,VALID,Operating Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2013,ROE,5.69,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2013,ROCE,6.64,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2013,ROA,1.09,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2014,NPM,4.82,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2014,OPM,17.08,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2014,ROE,11.14,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2014,ROCE,9.8,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2014,ROA,2.24,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2015,NPM,3.56,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2015,OPM,19.31,VALID,Operating Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2015,ROE,8.93,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2015,ROCE,11.39,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2015,ROA,1.76,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2016,NPM,2.94,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2016,OPM,4.95,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2016,ROE,7.47,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2016,ROCE,5.17,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2016,ROA,2.4,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2017,NPM,2.53,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2017,OPM,5.21,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2017,ROE,6.54,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2017,ROCE,5.44,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2017,ROA,1.94,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2018,NPM,1.65,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2018,OPM,5.67,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2018,ROE,3.94,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2018,ROCE,6.23,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2018,ROA,1.05,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2019,NPM,1.25,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2019,OPM,4.88,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2019,ROE,3.43,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2019,ROCE,7.57,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2019,ROA,1.19,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2020,NPM,2.4,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2020,OPM,5.29,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2020,ROE,6.14,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2020,ROCE,7.81,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2020,ROA,2.22,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2021,NPM,2.65,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2021,OPM,6.34,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2021,ROE,6.1,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2021,ROCE,7.51,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2021,ROA,2.03,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2022,NPM,1.14,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2022,OPM,5.35,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2022,ROE,3.54,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2022,ROCE,5.82,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2022,ROA,0.78,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2023,NPM,1.9,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2023,OPM,6.91,VALID,Operating Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2023,ROE,7.33,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2023,ROCE,10.22,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2023,ROA,1.71,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2024,NPM,3.46,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2024,OPM,11.8,VALID,Operating Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2024,ROE,8.53,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2024,ROCE,10.9,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENT,Mar 2024,ROA,2.08,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIGREEN,Mar 2017,NPM,-9.36,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIGREEN,Mar 2017,OPM,80.28,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIGREEN,Mar 2017,ROE,-3.91,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
