Company,Revenue_3Y,Revenue_3Y_Flag,Revenue_5Y,Revenue_5Y_Flag,Revenue_10Y,Revenue_10Y_Flag,PAT_3Y,PAT_3Y_Flag,PAT_5Y,PAT_5Y_Flag,PAT_10Y,PAT_10Y_Flag,EPS_3Y,EPS_3Y_Flag,EPS_5Y,EPS_5Y_Flag,EPS_10Y,EPS_10Y_Flag,Growth_Label
BHEL,11.34,VALID,-4.73,VALID,-4.92,VALID,,TURNAROUND,-22.4,VALID,-22.27,VALID,,TURNAROUND,-19.73,VALID,-20.57,VALID,Declining
BOSCHLTD,19.84,VALID,6.72,VALID,,INSUFFICIENT,72.87,VALID,9.28,VALID,,INSUFFICIENT,72.65,VALID,9.26,VALID,,INSUFFICIENT,Moderate
BPCL,24.86,VALID,8.48,VALID,5.42,VALID,15.75,VALID,25.79,VALID,20.82,VALID,18.78,VALID,28.06,VALID,21.29,VALID,Moderate
BRITANNIA,8.48,VALID,8.69,VALID,9.27,VALID,4.86,VALID,13.06,VALID,18.37,VALID,4.95,VALID,13.14,VALID,18.72,VALID,Moderate
CANBK,16.3,VALID,18.18,VALID,10.82,VALID,73.34,VALID,85.78,VALID,19.14,VALID,61.98,VALID,53.42,VALID,5.45,VALID,Strong Growth
CHOLAFIN,25.99,VALID,21.94,VALID,19.31,VALID,31.01,VALID,23.36,VALID,24.97,VALID,29.22,VALID,22.28,VALID,23.42,VALID,High Growth
CIPLA,10.39,VALID,9.51,VALID,9.74,VALID,20.25,VALID,22.73,VALID,11.46,VALID,19.35,VALID,21.83,VALID,11.61,VALID,Moderate
COALINDIA,16.49,VALID,7.4,VALID,7.26,VALID,43.29,VALID,16.43,VALID,9.48,VALID,42.68,VALID,16.85,VALID,9.78,VALID,Moderate
DABUR,9.06,VALID,7.81,VALID,5.8,VALID,2.23,VALID,4.6,VALID,7.05,VALID,0.0,VALID,4.56,VALID,7.18,VALID,Moderate
DIVISLAB,4.03,VALID,9.66,VALID,11.97,VALID,-6.92,VALID,3.41,VALID,7.55,VALID,-7.17,VALID,3.3,VALID,7.54,VALID,Moderate
DLF,5.88,VALID,-5.14,VALID,-2.52,VALID,36.0,VALID,15.7,VALID,16.53,VALID,40.1,VALID,12.89,VALID,10.65,VALID,Declining
DMART,28.13,VALID,20.48,VALID,26.91,VALID,32.14,VALID,22.97,VALID,31.74,VALID,31.89,VALID,22.74,VALID,29.24,VALID,High Growth
DRREDDY,13.72,VALID,12.64,VALID,7.64,VALID,41.91,VALID,23.39,VALID,11.01,VALID,42.82,VALID,23.84,VALID,11.28,VALID,Strong Growth
EICHERMOT,23.78,VALID,11.04,VALID,6.59,VALID,43.75,VALID,12.68,VALID,19.01,VALID,43.9,VALID,12.51,VALID,20.3,VALID,Strong Growth
GAIL,32.42,VALID,11.83,VALID,7.99,VALID,17.25,VALID,8.61,VALID,7.54,VALID,18.56,VALID,8.45,VALID,7.92,VALID,Strong Growth
GODREJCP,8.52,VALID,6.45,VALID,6.37,VALID,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,Moderate
GRASIM,19.68,VALID,11.15,VALID,16.54,VALID,12.42,VALID,29.31,VALID,12.89,VALID,10.5,VALID,27.73,VALID,6.81,VALID,Strong Growth
HAL,9.91,VALID,8.71,VALID,7.22,VALID,32.85,VALID,26.49,VALID,10.92,VALID,33.42,VALID,26.64,VALID,15.07,VALID,Moderate
